project,datetime_UTC,datetime_local,siteId,rType,appr1,appr2,appr3,appr4,rep,sublocation,Temp_EXO_C,ODOSat,ODO_mg_L,SpCond_uS_cm,Conductivity_uS_cm,FDOM_QSU_Raw,FDOM_QSU_Temp,FDOM_QSU_TempTurb,Turbidity_NTU,flag_Temp_EXO_C,flag_ODOSat,flag_ODO_mg_L,flag_SpCond_uS_cm,flag_Conductivity_uS_cm,flag_FDOM_QSU,flag_FDOM_QSU_Temp,flag_FDOM_QSU_TempTurb,flag_Turbidity_NTU
AIMS,2022-03-28 13:30:00,2022-03-28 07:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.46,94.9,12.61,124,NA,68.19,62.05525461,65.1419462,10.66,,,,,M,,,,
AIMS,2022-03-28 13:45:00,2022-03-28 07:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.45,94.9,12.62,124,NA,68.11,61.97986316,65.0657281,10.67,,,,,M,,,,
AIMS,2022-03-28 14:00:00,2022-03-28 08:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.43,94.9,12.62,124,NA,67.96,61.83819834,64.90242699,10.62,,,,,M,,,,
AIMS,2022-03-28 14:15:00,2022-03-28 08:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.43,94.8,12.62,124,NA,67.81,61.70171026,64.75335565,10.6,,,,,M,,,,
AIMS,2022-03-28 14:30:00,2022-03-28 08:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.44,94.8,12.61,124,NA,67.68,61.58599251,64.63772377,10.62,,,,,M,,,,
AIMS,2022-03-28 14:45:00,2022-03-28 08:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.45,94.8,12.61,124,NA,67.57,61.48846503,64.45708477,10.35,,,,,M,,,,
AIMS,2022-03-28 15:00:00,2022-03-28 09:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.46,94.8,12.6,124,NA,67.44,61.37272871,64.35311978,10.41,,,,,M,,,,
AIMS,2022-03-28 15:15:00,2022-03-28 09:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.48,94.8,12.6,124,NA,67.36,61.30504697,64.24747359,10.29,,,,,M,,,,
AIMS,2022-03-28 15:30:00,2022-03-28 09:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.49,94.8,12.59,124,NA,67.21,61.17108552,64.11573217,10.32,,,,,M,,,,
AIMS,2022-03-28 15:45:00,2022-03-28 09:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.5,94.8,12.59,124,NA,67.12,61.09172406,64.00375741,10.22,,,,,M,,,,
